count,create_date,location,weatherstation,temp,precip,canonical_location
7,2012-12-12,Santa Barbara,KSBA,55.693548387100002,0.17999999999999999,Santa Barbara
5,2012-12-12,Austin TX,KATT,45.512500000000003,0.0,Austin
5,2012-12-12,Indianapolis,KIND,32.152173912999999,0.0,Indianapolis
6,2012-12-12,Cambridge MA,KBOS,35.041666666700003,0.0,Boston
3,2012-12-12,Colorado Springs,KCOS,40.427999999999997,0.0,Colorado Springs
6,2012-12-11,Seattle WA,KBFI,44.793548387100003,0.11,Seattle
2,2012-12-11,Redmond,KBFI,44.793548387100003,0.11,Seattle
6,2012-12-11,Washington,KDCA,48.184615384600001,0.070000000000000007,Washington DC
3,2012-12-11,Birmingham,KBHM,37.7307692308,0.0,Birmingham
19,2012-12-11,Washington DC,KDCA,48.184615384600001,0.070000000000000007,Washington DC
4,2012-12-11,Baltimore,KBWI,46.064,0.089999999999999997,Baltimore
4,2012-12-11,Salt Lake City,KSLC,38.537500000000001,0.0,Salt Lake City
3,2012-12-11,San Antonio,KSSF,42.100000000000001,0.0,San Antonio
7,2012-12-11,Mountain View,KNUQ,51.892857142899999,0.0,Mountain View
5,2012-12-11,Portland OR,KPDX,45.2088235294,0.16,Portland
1,2012-12-15,Mountain View,KNUQ,45.054166666699999,0.14999999999999999,Mountain View
4,2012-12-15,Santa Barbara,KSBA,48.581481481499999,0.02,Santa Barbara
1,2012-12-12,Oakland CA,KOAK,52.762962963,0.080000000000000002,Berkeley
6,2012-12-12,Washington,KDCA,42.608333333300003,0.0,Washington DC
3,2012-12-12,san francisco,KSFO,51.2481481481,0.14000000000000001,San Francisco
14,2012-11-29,Montr\\xc3\\xa9al,CWTA,24.035714285699999,0.040000000000000001,Montreal
